month,wide releases,box Office revenue ($bn)
Jan-19,10,0.81
Feb-19,13,0.62
Mar-19,12,0.96
Apr-19,10,1.03
May-19,16,1.08
Jun-19,11,1.15
Jul-19,8,1.29
Aug-19,17,0.84
Sep-19,12,0.69
Oct-19,13,0.78
Nov-19,20,0.96
Dec-19,10,1.15
Jan-20,14,0.90
Feb-20,10,0.64
Mar-20,7,0.25
Apr-20,1,0.00
May-20,0,0.00
Jun-20,2,0.00
Jul-20,3,0.01
Aug-20,3,0.03
Sep-20,4,0.09
Oct-20,7,0.06
Nov-20,3,0.06
Dec-20,8,0.07
Jan-21,3,0.07
Feb-21,6,0.06
Mar-21,5,0.11
Apr-21,6,0.20
May-21,8,0.21
Jun-21,8,0.40
Jul-21,10,0.58
Aug-21,9,0.42
Sep-21,6,0.37
Oct-21,13,0.62
Nov-21,8,0.52
Dec-21,11,0.92
Jan-22,6,0.39
Feb-22,9,0.37
Mar-22,8,0.59
Apr-22,11,0.57
May-22,7,0.79
Jun-22,5,0.97
Jul-22,9,1.13
Aug-22,13,0.47
Sep-22,14,0.32
Oct-22,10,0.47
Nov-22,8,0.63
Dec-22,6,0.68
